357938;22464;14180;;122571;10124;4904;;362287;22428;14121;;171746;16684;8226;;363680;22770;14198;;197214;15518;12735;;362057;22626;14230;;109698;8455;4040;;355674;22536;14101;;115208;9818;4148;;376464;22311;14026;;169020;14866;8526;;348792;22338;14067;;174711;19503;8719;;4337296;22248;13998;;151668;11734;6914;;378808;22851;14366;;91223;10624;2802;;364281;22761;14265;;160083;12496;7629;;
398155;23184;14536;;152609;13497;6231;;346387;21843;13637;;144544;13965;5728;;366826;23328;14623;;280492;29140;16914;;409176;23076;14427;;214757;20367;11253;;3421228;23184;14601;;142831;12843;5313;;327060;20511;12787;;194148;20134;9264;;199990;12015;7554;;201893;15075;7092;;371746;23166;14565;;125518;11821;4188;;377135;23157;14504;;146438;12434;5686;;373178;23490;14686;;64372;4199;2148;;
371665;23418;14675;;186264;15190;9697;;382946;23076;14512;;138643;12588;7283;;385401;24273;15296;;193597;15207;8497;;370824;23742;14871;;198536;18078;11371;;4368665;23697;14889;;176375;15249;8392;;406350;23922;15148;;137641;11940;5607;;386443;23994;15054;;182135;16339;9068;;373408;23688;14797;;142881;17769;5323;;391493;24057;15193;;161536;14121;6752;;378759;23940;15132;;164712;15043;7086;;
423373;24075;15141;;191113;19574;8831;;392124;24435;15363;;185262;20852;6946;;392134;24669;15454;;112673;12686;3666;;351496;21987;13782;;147589;12923;6125;;382365;24435;15376;;111802;16246;3042;;379250;24156;15160;;194930;17629;11693;;4368244;24156;15147;;167858;15915;6722;;380552;24129;15129;;133433;10340;5293;;389239;24507;15439;;117203;11858;4291;;6332449;24228;15263;;205940;18336;10397;;
399257;25038;15724;;216511;17736;11754;;431879;25200;15799;;171285;17304;8243;;2824065;24624;15440;;76435;7355;2415;;399318;24390;15305;;157448;13233;6177;;385902;24714;15545;;133924;16779;4184;;2098931;24831;15600;;152179;12973;4557;;393326;24786;15634;;166235;12793;9355;;408665;24993;15655;;114217;8767;5294;;2478932;24561;15388;;162799;14666;7027;;373759;24273;15179;;228434;13508;8932;;
381944;24192;15246;;201673;19103;9250;;378067;23121;14414;;149013;17083;5252;;435696;24453;15322;;138423;11111;5684;;367848;23112;14484;;249963;19227;16515;;402313;25029;15600;;180251;15858;8379;;429505;25569;15984;;141729;12028;5345;;398767;25119;15686;;237110;24310;9983;;392003;24867;15574;;168480;13574;10357;;389980;24723;15403;;151658;12941;6408;;414637;25416;15970;;128433;14791;4078;;
390391;24948;15677;;162438;13122;7832;;435215;25551;15996;;165614;15203;6267;;399728;25704;16091;;83228;6773;2866;;408185;26091;16434;;132261;13358;6193;;425276;25974;16309;;271555;24976;15075;;422812;25524;16051;;256005;26563;12937;;426339;26307;16565;;4104274;13544;3646;;403656;25434;15932;;193237;19538;9012;;423734;26460;16674;;109167;9038;4347;;2429047;25803;16133;;194339;19568;8351;;
438632;26631;16736;;107484;8375;4408;;425507;26784;16830;;206542;20128;8460;;416199;26370;16541;;158981;13000;7861;;2849504;26631;16811;;235146;16845;10934;;419696;26631;16861;;195681;19035;8792;;2202417;24273;15185;;189700;16228;10038;;422051;26235;16448;;224516;17103;10627;;426458;26784;16831;;160665;14049;6994;;431349;26766;16848;;150175;15127;5086;;430386;26820;16894;;237901;19652;13179;;
444283;26982;16937;;223093;19578;11466;;413223;26118;16374;;195040;14704;11409;;422261;27270;17108;;236198;20436;12541;;422391;25686;16094;;227802;21836;13573;;4380849;24615;15406;;201913;18240;9925;;443051;26856;16814;;232822;20136;13421;;431729;27387;17227;;2191226;17070;7247;;432240;26964;16962;;265474;25668;14301;;427050;26910;16884;;195761;16129;8918;;446506;27234;17067;;145626;20146;5090;;
443671;27162;16892;;227371;24403;10021;;442459;27738;17479;;224195;17446;11128;;427621;27018;16932;;186593;15187;8956;;7057304;27882;17434;;184921;22467;6061;;433312;27495;17235;;189299;12740;6771;;437259;28206;17700;;165243;15587;6819;;440295;27540;17271;;151196;11474;5988;;453260;27783;17458;;201322;19935;8557;;440275;26604;16611;;214717;17313;11440;;443841;27792;17340;;6959790;20637;8222;;
