4100;;22608;14220;368610;;15863;8566;170955;;22788;14264;362819;;7693;3648;99619;;22545;14139;384790;;9509;3776;106732;;22311;13931;347981;;14885;2830;107464;;22680;14260;3659870;;20042;6073;161887;;21420;13324;345196;;12040;5564;120950;;22914;14281;363280;;16222;8975;175002;;22779;14208;367809;;26006;15843;487606;;22572;14223;4214692;;9638;4086;109117;;22770;14365;368590;;10768;6292;151318;;
4200;;21258;13327;329706;;11578;3275;106463;;23058;14457;360154;;14196;4747;141228;;21879;13690;376535;;9369;4090;109628;;23274;14583;8311130;;9430;2699;87847;;23256;14564;365364;;13411;4396;123775;;23382;14631;379500;;14043;6365;144825;;22986;14423;374121;;17852;5526;157719;;23220;14531;361506;;16776;5393;150155;;22797;14268;365364;;8020;4094;102725;;23373;14758;371806;;16728;7745;175133;;
4300;;23967;15045;395351;;8343;5426;111813;;23841;14991;398647;;10447;4109;117022;;23967;14991;6407866;;9814;4856;125007;;23022;14425;364572;;8571;3653;101403;;23553;14812;377627;;7681;2965;89350;;23958;15084;383528;;15922;6112;158291;;23310;14545;380172;;15185;7836;175213;;23985;14985;382176;;18114;10684;221832;;23805;14904;406762;;18962;7870;182557;;23967;15072;380633;;18339;11114;210750;;
4400;;24021;15068;381915;;14395;9075;178398;;24543;15430;387916;;21276;10695;209838;;21897;13703;340677;;13328;4626;145567;;24093;15117;4349228;;9382;3829;107474;;24210;15202;388528;;13416;6799;153782;;24570;15397;389680;;16542;8755;182196;;24489;15374;432481;;17714;6525;168209;;23769;14869;406863;;24254;9504;212243;;24498;15420;394188;;9374;4474;99930;;24336;15269;3357815;;9429;3420;105641;;
4500;;24741;15464;451688;;6656;2516;71005;;24696;15437;387806;;13311;6414;196202;;25713;16124;465283;;19452;10543;217333;;24867;15648;393026;;10960;6608;149143;;24984;15672;410148;;11478;6077;146168;;23814;14831;367558;;13465;6482;161286;;24813;15456;392355;;14517;4093;134566;;23040;14375;368019;;14265;6576;166326;;24759;15553;3796568;;10419;6060;127601;;24048;15070;394730;;14385;9672;177216;;
4600;;25389;15910;430617;;12659;5172;142511;;25038;15577;1816199;;13219;7653;164733;;25191;15795;393948;;13783;8612;193537;;25623;16108;4399724;;17191;5256;150125;;25731;16189;410470;;20715;11468;224656;;25002;15677;1769750;;14137;4109;123234;;25596;16102;402965;;10425;3945;113275;;24714;15386;385161;;17649;7234;213686;;25830;16284;427262;;20968;11376;225368;;25461;15976;420198;;11508;6271;144905;;
4700;;25893;16217;409528;;11706;5909;149023;;26343;16597;419516;;16942;3960;131901;;26190;16358;415198;;17242;7787;211511;;25893;16236;4410054;;9771;3756;116391;;26001;16295;1195771;;18751;5796;205360;;25902;16316;420698;;13804;6035;153111;;25596;16155;414947;;9036;4479;3183384;;25803;16180;428514;;18271;7803;183227;;25920;16257;418795;;12861;6246;161015;;26253;16543;415870;;20970;11959;215339;;
4800;;26892;16912;442551;;13233;9465;184530;;25830;16150;428163;;17403;11491;225809;;26514;16607;428063;;20133;9518;234095;;26595;16741;437160;;15574;10436;203085;;26739;16762;440016;;16405;7527;179281;;25821;16201;417573;;15760;9152;190632;;26559;16630;477337;;18936;8808;188918;;26856;16774;438392;;22995;8334;205000;;26856;16834;503917;;15443;11032;202394;;26172;16391;427011;;26688;16006;2083596;;
4900;;26802;16821;432492;;25111;11775;277988;;26649;16742;437030;;15478;9208;180502;;27135;17005;453121;;16896;7194;177367;;24570;15293;787254;;13688;7085;162358;;27180;17009;448812;;19119;15713;263620;;27765;17453;469061;;18362;12334;230637;;27036;16897;435066;;17638;9644;213535;;27297;17167;4459828;;11832;4834;133293;;27180;17047;448321;;17294;11528;237642;;27297;17096;432882;;15127;5804;170283;;
5000;;26973;16890;839164;;21683;15711;267858;;27837;17513;438392;;15145;9354;2235435;;27261;17107;441578;;16752;11286;207173;;27504;17300;466566;;16110;6791;159152;;27792;17358;457939;;17791;7512;197114;;27576;17350;429085;;16462;6711;170614;;28026;17567;509638;;13953;8367;162830;;27891;17482;441658;;9312;3450;104579;;27801;17446;450456;;16587;6449;197404;;27990;17580;452058;;15397;6276;157409;;
5100;;28332;17743;458731;;12405;7939;180202;;28305;17753;460304;;13722;5125;142271;;28440;17859;464663;;22117;8800;212173;;27855;17401;464312;;16163;7446;183548;;28467;17883;454973;;11126;6664;167018;;27945;17477;435236;;27822;20563;346187;;27900;17447;451908;;14723;7403;179130;;28242;17753;461246;;17872;5882;167178;;28485;17860;457839;;19776;9421;226750;;28116;17680;465213;;19196;9169;204228;;
5200;;29025;18268;2470611;;15698;11833;211301;;26235;16384;412413;;21775;14913;264281;;28602;17955;495751;;12418;8141;158471;;28422;17843;444354;;19553;9342;210119;;28575;17891;492145;;19815;10070;219907;;29025;18217;493747;;14371;6360;162870;;29124;18237;452880;;18736;7441;190081;;28530;17912;464592;;25209;13607;268610;;28818;18152;463099;;10995;4584;129455;;28854;18128;447109;;14512;7223;174111;;
5300;;29493;18547;468309;;14974;8058;194880;;29448;18415;4796317;;9454;6413;129787;;29313;18322;458230;;17362;6736;5356821;;29439;18489;475613;;12374;5482;142841;;29745;18620;473859;;11480;5993;155946;;29025;18189;455645;;15179;4657;161717;;29835;18733;480442;;14239;7658;191093;;29106;18156;467508;;30708;12511;268479;;27972;17430;478489;;12650;8314;167288;;28809;18049;509798;;18576;13676;223615;;
5400;;30402;19189;491182;;12792;7853;176425;;30555;19224;505440;;13353;4452;136229;;29655;18548;468550;;37534;21147;6786446;;29232;18293;1958098;;26185;12380;260604;;30096;18888;475132;;19183;13145;242851;;30177;19039;2626797;;18209;8955;197105;;30213;18924;483237;;18734;8244;214046;;29205;18288;460063;;24411;13651;265284;;30186;18952;497245;;29287;18289;320830;;30186;18912;486163;;17289;10640;209988;;
5500;;30780;19266;492335;;16636;7105;328815;;30708;19253;500110;;31091;12306;268890;;30240;18956;488467;;13766;9172;193137;;30978;19502;491804;;14637;7419;171807;;31077;19518;3819923;;22797;10364;286835;;30636;19190;480422;;24207;7933;210088;;30411;19101;4460900;;16436;11346;220118;;30411;19087;479651;;21549;14377;256026;;30744;19255;489710;;19229;12811;238312;;30834;19322;4447214;;15573;7229;167668;;
5600;;31266;19623;510558;;13424;6311;159663;;29880;18620;2523742;;10992;6402;145767;;30888;19405;481895;;16258;11392;206112;;30933;19374;487977;;14827;10516;198567;;31284;19643;548902;;14805;7098;179992;;30960;19379;521631;;15167;10274;202405;;30483;19074;476655;;30807;12144;5233317;;30852;19288;492866;;24339;12740;249784;;31716;19928;501923;;27827;12911;270142;;30969;19416;557609;;14364;7731;180493;;
5700;;31545;19874;537290;;22358;7808;208576;;32130;20192;512142;;15049;5920;152349;;31887;20050;539634;;17974;10553;225448;;31860;19961;553641;;24194;7587;226179;;31536;19791;921330;;14445;4864;155055;;32013;20073;505900;;17062;10337;218696;;31212;19505;507003;;24261;12203;246158;;31959;20005;525688;;16442;9209;178439;;31617;19818;508346;;16400;8328;201863;;31590;19766;507322;;25078;16123;299289;;
5800;;32490;20535;593266;;22594;10168;224547;;32445;20365;533723;;11604;8228;171405;;31662;19705;3043579;;25218;15164;335176;;32022;19956;507914;;26423;7557;243202;;31968;20053;551067;;29531;14705;300331;;32499;20419;610940;;23424;15949;282566;;31995;19979;521169;;24823;12700;297325;;31869;20008;517582;;17557;5342;167488;;32220;20318;566896;;12927;8397;183509;;32103;20078;529996;;17734;7406;193096;;
5900;;32850;20735;533453;;22124;9691;224366;;33219;20808;516610;;19045;7678;201082;;32931;20537;514376;;12370;4427;127222;;33120;20765;528464;;41875;25963;425719;;32877;20630;1556635;;17562;5622;171255;;32481;20399;507093;;33848;4562;188949;;29592;18470;505700;;22807;9462;223564;;29916;18657;475684;;28092;13056;272096;;32688;20553;4505425;;16497;8503;204108;;31680;19813;494499;;24265;11215;2496410;;
6000;;32805;20487;540186;;17345;9063;198547;;34047;21312;548432;;19967;10674;226460;;33084;20611;574080;;23417;16705;285602;;32922;20657;6474243;;17323;7823;201292;;33012;20577;3489295;;26122;12181;264793;;33021;20639;532150;;20434;4751;166917;;33147;20781;4563886;;26830;9511;248692;;32940;20516;522041;;13416;8495;174973;;33282;20854;527231;;29341;19633;340577;;33255;20862;537821;;12342;8340;169091;;
